mean, median, standard_deviation
51.5,45.0,24.0
51.3,45.5,22.7
51.1,45.5,22.9
50.3,44.5,22.7
46.1,39.8,21.6
38.6,36.0,12.3
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
