mean, median, standard_deviation
64.6,61.5,38.0
66.6,63.5,39.1
64.6,62.5,38.1
63.7,61.0,38.6
63.9,61.0,38.2
66.5,65.0,39.7
66.0,64.0,40.3
65.7,65.5,39.1
61.2,57.5,39.0
64.7,62.0,40.5
53.1,53.5,34.7
71.2,76.2,33.7
56.6,38.0,44.4
47.3,56.0,19.4
nan,nan,nan
