mean, median, standard_deviation
63.6,59.5,35.9
63.8,60.5,37.9
62.7,59.5,36.3
63.0,59.0,37.8
64.4,59.0,38.6
64.0,63.0,37.0
63.4,60.5,38.5
62.8,63.0,37.5
71.4,73.0,37.0
83.5,98.0,33.1
