mean, median, standard_deviation
50.9,46.5,30.6
51.0,46.5,31.4
49.8,44.5,32.5
50.1,46.0,31.7
47.5,45.0,29.7
48.4,46.5,29.2
42.8,35.5,30.0
40.5,32.0,31.1
40.6,14.5,56.0
23.8,26.5,8.4
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
